EventID  Status  Request_Time  End_Time  Turnaround_Time  Pad
-------------------------------------------------------------
2        L       2             4         2                B
1        D       0             6         6                A
3        L       6             8         2                B
5        L       8             10        2                A
7        D       12            16        4                A
8        L       12            18        6                A
4        A       6             20        14               B
10       L       18            20        2                A
12       L       20            22        2                A
13       L       24            26        2                A
15       L       26            28        2                A
16       L       28            30        2                A
6        A       8             32        24               B
17       L       30            32        2                A
18       L       32            34        2                A
14       D       24            38        14               A
20       L       38            40        2                A
9        A       12            44        32               B
21       L       42            44        2                A
22       L       44            46        2                A
23       L       46            48        2                A
25       L       48            50        2                A
26       L       50            52        2                A
28       L       52            54        2                A
11       A       18            56        38               B
30       L       54            56        2                A
27       D       52            60        8                A
31       L       58            62        4                A
32       L       60            64        4                A
34       L       64            66        2                A
19       A       38            68        30               B
35       D       66            70        4                A
36       L       68            72        4                A
37       L       70            74        4                A
38       L       72            76        4                A
39       L       74            78        4                A
24       A       48            80        32               B
40       L       76            80        4                A
43       E       80            82        2                B
44       E       80            82        2                A
41       L       78            84        6                A
42       L       80            86        6                A
45       L       84            88        4                A
46       L       88            90        2                A
47       L       90            92        2                A
29       A       54            94        40               B
48       L       92            94        2                A
49       L       94            96        2                A
50       L       96            98        2                A
51       L       98            100       2                A
52       L       100           102       2                A
33       A       64            106       42               B
53       D       102           106       4                A
54       L       104           108       4                A
56       L       108           110       2                B
55       L       106           110       4                A
57       L       110           112       2                B
58       L       114           116       2                B
59       L       116           118       2                A
60       L       118           120       2                B
61       L       120           122       2                A
